epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7445.53,0.5286,0.52002,0.80973,0.99863,0.98581,0.99352,0.89332,0.46166,0.40855,0.88645,0.000660045,0.000660045,0.000660045
43,7581.64,0.57788,0.50214,0.81407,0.99239,0.98264,0.99405,0.88522,0.47732,0.42166,0.87906,0.000649046,0.000649046,0.000649046
44,7718.72,0.55619,0.48359,0.82658,0.9909,0.97982,0.99434,0.89547,0.44827,0.39848,0.87687,0.000638047,0.000638047,0.000638047
45,7854.63,0.54015,0.46586,0.82972,0.99346,0.98828,0.99463,0.87705,0.49772,0.39625,0.87265,0.000627048,0.000627048,0.000627048
46,7991.88,0.57645,0.484,0.82994,0.9929,0.98995,0.99498,0.90234,0.43608,0.39098,0.87477,0.000616049,0.000616049,0.000616049
47,8129.35,0.5429,0.48189,0.81876,0.99541,0.98048,0.99372,0.88764,0.47724,0.39911,0.87984,0.000605051,0.000605051,0.000605051
48,8265.09,0.52276,0.46022,0.80702,0.9942,0.9786,0.99431,0.89189,0.4643,0.38407,0.86684,0.000594052,0.000594052,0.000594052
49,8401.42,0.50756,0.45765,0.81202,0.99678,0.98528,0.99466,0.92248,0.39555,0.35838,0.86919,0.000583053,0.000583053,0.000583053
50,8537.43,0.49991,0.43989,0.80942,0.99351,0.98596,0.9949,0.89056,0.47655,0.3831,0.87271,0.000572054,0.000572054,0.000572054
51,8674.48,0.53444,0.45836,0.82059,0.99896,0.98239,0.99495,0.90136,0.43299,0.37395,0.86597,0.000561055,0.000561055,0.000561055
52,8812.73,0.51328,0.43809,0.81536,0.99859,0.98457,0.99466,0.88379,0.50824,0.39448,0.87884,0.000550056,0.000550056,0.000550056
53,8950.63,0.53247,0.44621,0.83304,0.99426,0.98961,0.99466,0.91687,0.4274,0.35448,0.87062,0.000539057,0.000539057,0.000539057
54,9106.19,0.47644,0.43275,0.8115,0.99435,0.9886,0.99495,0.90546,0.4489,0.36949,0.87649,0.000528058,0.000528058,0.000528058
55,9324.57,0.48527,0.43473,0.80905,0.99155,0.98718,0.9949,0.91413,0.404,0.35918,0.86569,0.000517059,0.000517059,0.000517059
